"date","ticker","company","transaction_type","quantity","price","currency","buy_fee","sell_fee","fx_fee","tax_fx_rate","tax_currency","broker","note"
"2026-01-29","MA","Mastercard Inc","buy","2","531.97","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2025-03-12","AMZN","Amazon.com Inc","buy","5","196.86","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-01-20","AMZN","Amazon.com Inc","buy","4","230.54","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-02-06","AMZN","Amazon.com Inc","buy","3","205.20","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-01-29","MSFT","Microsoft Corp","buy","2","429.89","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-02-04","MSFT","Microsoft Corp","buy","1","417.57","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-02-09","MSFT","Microsoft Corp","buy","3","404.47","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-02-04","SPGI","S&P Global Inc","buy","3","453.62","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-02-10","SPGI","S&P Global Inc","buy","2","366.24","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2025-01-02","AMD","Advanced Micro Devices","buy","5","121.69","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2025-03-12","NVO","Novo Nordisk A/S","buy","13","74.45","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2025-04-16","NVO","Novo Nordisk A/S","buy","12","63.05","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2025-04-23","JD","JD.com Inc","buy","30","34.54","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-02-09","DUOL","Duolingo Inc","buy","4","119.61","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2023-02-27","GOOGL","Alphabet Inc Class A","buy","3","90.05","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2023-03-11","GOOGL","Alphabet Inc Class A","buy","3","92.11","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2024-10-15","LRCX","Lam Research Corp","buy","9","77.56","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2023-02-27","IWDA","iShares Core MSCI World ETF","buy","3","72.68","EUR","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2025-03-05","IWDA","iShares Core MSCI World ETF","buy","5","101.45","EUR","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-02-25","META","Meta Platforms Inc","buy","3","651.71","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-01-16","TTD","Trade Desk Inc","buy","16","36.26","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-01-29","S","SentinelOne Inc","buy","50","14.09","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2026-02-11","NOW","ServiceNow Inc","buy","5","107.52","USD","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2024-06-16","BY6","BYD Ord Shs H","buy","65","7.50","EUR","0.0","0","0","","CZK","","Vytvoreno automaticky z portfolio.csv"
"2023-03-17","GRPN","Groupon","buy","25","3.90","USD","3.00","0","0","","CZK","","Realizovano dle screenshotu"
"2024-07-17","GRPN","Groupon","sell","25","17.45","USD","0","0.0","0","","CZK","","Realizovano dle screenshotu"
"2023-02-27","BABA","Alibaba","buy","2","89.5676","USD","2.00","0","0","","CZK","","Realizovano dle screenshotu"
"2024-10-01","BABA","Alibaba","sell","2","106.72","USD","0","0.0","0","","CZK","","Realizovano dle screenshotu"
"2024-03-10","BABA","Alibaba","buy","3","82.91","USD","2.00","0","0","","CZK","","Realizovano dle screenshotu"
